ID,COMPLETION_DATE,EMAIL,Syn_Company_Name,LOCATION,Syn_First_Name,Syn_Last_Name,POSITION,Syn_Supervisor_Name,WHAT_IS_THE_REASON_THAT_MADE_YOU_DECIDE_TO_LEAVE,HOW_WOULD_YOU_RATE_THE_COMMUNICATION_BETWEEN_YOU_AND_YOUR_SUPERVISOR,COMMENTS_TO_QUESTION_8,SNOWFLAKE.CORTEX.SENTIMENT(COMMENTS_TO_QUESTION_8),PLEASE_RATE_THE_SUPPORT_YOU_RECEIVED_TO_BE_SUCCESSFUL_IN_YOUR_POSITION,COMMENTS_TO_QUESTION_10,SNOWFLAKE.CORTEX.SENTIMENT(COMMENTS_TO_QUESTION_10),PLEASE_RATE_THE_LEADERSHIP_QUALITIES_OF_UPPER_MANAGEMENT_LOCAL_AND_CORPORATE,COMMENTS_TO_QUESTION_12,SNOWFLAKE.CORTEX.SENTIMENT(COMMENTS_TO_QUESTION_12),WHAT_SUGGESTIONS_DO_YOU_HAVE_FOR_THE_COMPANY_HOW_COULD_WE_IMPROVE,ANYTHING_ELSE_YOU_WOULD_LIKE_FOR_US_TO_KNOW,SEQ,INDEX,VALUE,REASON,REASON_GROUP
94,9/3/2025,anonymous,Blue Horizon Home Health & Hospice,Austin/Pflugerville,Emily,Kim,Partnership Development Representative,Michelle Thornton,Personal/Family Reasons;,2,"From the start of my time with Magnolia Hospice, my direct supervisor was difficult to communicate with. Not very organized or timely, rather erratic. She was also difficult to get direct answers from and I looked to other employees and colleagues for direction and support, especially in my first few months.",-0.140625,4,"My executive director, the back office clinical staff, and my seasoned peers provided great support during my time with Magnolia Hospice. The 4 stars is a reflection of the limited level of support from my direct supervisor. It was almost as if she did not want me to succeed. ",0.59375,3,"Local management, with the exception of my supervisor, was great. I did not communicate often with corporate management, but when I did, it was timely, professional, helpful and appreciated.",0.5390625,"Promoting within an organization is great, but make sure the people you promote have the skill set and temperament for the role. Successful sales people do not always translate to successful managers. ","I am grateful for my time with Magnolia Hospice. In my 6 months of employment, I met a lot of great people and overall was quite happy with my role. I am 6 months pregnant and the physical demands of driving that my role requires ultimately led me to resign sooner than I would have liked. ",7,2,,,Other
97,9/10/2025,anonymous,Evergreen Compassion Hospice,Victoria,Jessica,Ramirez,Business office manager,Monica Reyes,Pay;Opportuitny For Growth;Dissatisfied with Job;Dissatisfied with Supervisor;,1,Was not fair,-0.6113281,1,Nver had proper training,0.2734375,1,No support,-0.76464844,Need support,I was told it wasn't in budget for a raise that I was promised yet Katie Walker doubled Kyra Smith pay and gave her mileage a week after she told me no!!!,8,1,Pay,pay,Pay & Compensation
97,9/10/2025,anonymous,Evergreen Compassion Hospice,Victoria,Jessica,Ramirez,Business office manager,Monica Reyes,Pay;Opportuitny For Growth;Dissatisfied with Job;Dissatisfied with Supervisor;,1,Was not fair,-0.6113281,1,Nver had proper training,0.2734375,1,No support,-0.76464844,Need support,I was told it wasn't in budget for a raise that I was promised yet Katie Walker doubled Kyra Smith pay and gave her mileage a week after she told me no!!!,8,2,Opportuitny For Growth,opportuitny for growth,Career Growth / Hours
97,9/10/2025,anonymous,Evergreen Compassion Hospice,Victoria,Jessica,Ramirez,Business office manager,Monica Reyes,Pay;Opportuitny For Growth;Dissatisfied with Job;Dissatisfied with Supervisor;,1,Was not fair,-0.6113281,1,Nver had proper training,0.2734375,1,No support,-0.76464844,Need support,I was told it wasn't in budget for a raise that I was promised yet Katie Walker doubled Kyra Smith pay and gave her mileage a week after she told me no!!!,8,3,Dissatisfied with Job,dissatisfied with job,Job Dissatisfaction
97,9/10/2025,anonymous,Evergreen Compassion Hospice,Victoria,Jessica,Ramirez,Business office manager,Monica Reyes,Pay;Opportuitny For Growth;Dissatisfied with Job;Dissatisfied with Supervisor;,1,Was not fair,-0.6113281,1,Nver had proper training,0.2734375,1,No support,-0.76464844,Need support,I was told it wasn't in budget for a raise that I was promised yet Katie Walker doubled Kyra Smith pay and gave her mileage a week after she told me no!!!,8,4,Dissatisfied with Supervisor,dissatisfied with supervisor,Supervisor / Management
97,9/10/2025,anonymous,Evergreen Compassion Hospice,Victoria,Jessica,Ramirez,Business office manager,Monica Reyes,Pay;Opportuitny For Growth;Dissatisfied with Job;Dissatisfied with Supervisor;,1,Was not fair,-0.6113281,1,Nver had proper training,0.2734375,1,No support,-0.76464844,Need support,I was told it wasn't in budget for a raise that I was promised yet Katie Walker doubled Kyra Smith pay and gave her mileage a week after she told me no!!!,8,5,,,Other
98,9/12/2025,anonymous,Lighthouse Hospice & Home Care,Snyder,Kevin,Johnson,Hospice Aide,Patricia Nguyen,"Pay;Dissatisfied with Job;Dissatisfied with Supervisor;Opportuitny For Growth;- the two weeks I was in training Jessica and Priscilla had been doing my patients visits at assisted living before I get to work, then telling me to do the charting and let the time go for 30 mins when I get there even though I didnt see the patient  - Monday, Sept. 8th Jessica didnt use gloves when getting Lambaren up for shower and she was covered in urine  - Jessica and Priscilla start patient visits at least 5 minutes before they arrive at patient home  - Jessica and Faline have been rude and talking about me even in front of other people, I was told about one time from a RN in a facility - Faline does not work as a team with me no matter how hard I try, even ignores me when I try to have a conversation  - Jessica and Faline will take my patients to bathe them while telling me to just make the bed or grab clothes instead of teaching me and letting me learn my patients  - Dont have full time hours  - My pay isnt enough for my bills  - Hospice isnt what I expected it to be ;",2,When I would message my supervisor about certain topics she wouldnï¿½t answer my message but it I text again about a patient she would answer that while still ignoring my other messages.,-0.5136719,2,There was only 1 Aide (Priscilla) that encouraged me and let me do hands on practices so I could learn how to do my job effectively.,-0.35546875,3,"Some people were super helpful, but others were not. ",-0.20703125,"Encourage better team work, make sure things that are talked about in meetings actually happen and make it out of the meeting, and make sure supervisors jobs are done effectively. ",I do not have any other information. ,9,1,Pay,pay,Pay & Compensation
98,9/12/2025,anonymous,Lighthouse Hospice & Home Care,Snyder,Kevin,Johnson,Hospice Aide,Patricia Nguyen,"Pay;Dissatisfied with Job;Dissatisfied with Supervisor;Opportuitny For Growth;- the two weeks I was in training Jessica and Priscilla had been doing my patients visits at assisted living before I get to work, then telling me to do the charting and let the time go for 30 mins when I get there even though I didnt see the patient  - Monday, Sept. 8th Jessica didnt use gloves when getting Lambaren up for shower and she was covered in urine  - Jessica and Priscilla start patient visits at least 5 minutes before they arrive at patient home  - Jessica and Faline have been rude and talking about me even in front of other people, I was told about one time from a RN in a facility - Faline does not work as a team with me no matter how hard I try, even ignores me when I try to have a conversation  - Jessica and Faline will take my patients to bathe them while telling me to just make the bed or grab clothes instead of teaching me and letting me learn my patients  - Dont have full time hours  - My pay isnt enough for my bills  - Hospice isnt what I expected it to be ;",2,When I would message my supervisor about certain topics she wouldnï¿½t answer my message but it I text again about a patient she would answer that while still ignoring my other messages.,-0.5136719,2,There was only 1 Aide (Priscilla) that encouraged me and let me do hands on practices so I could learn how to do my job effectively.,-0.35546875,3,"Some people were super helpful, but others were not. ",-0.20703125,"Encourage better team work, make sure things that are talked about in meetings actually happen and make it out of the meeting, and make sure supervisors jobs are done effectively. ",I do not have any other information. ,9,2,Dissatisfied with Job,dissatisfied with job,Job Dissatisfaction
98,9/12/2025,anonymous,Lighthouse Hospice & Home Care,Snyder,Kevin,Johnson,Hospice Aide,Patricia Nguyen,"Pay;Dissatisfied with Job;Dissatisfied with Supervisor;Opportuitny For Growth;- the two weeks I was in training Jessica and Priscilla had been doing my patients visits at assisted living before I get to work, then telling me to do the charting and let the time go for 30 mins when I get there even though I didnt see the patient  - Monday, Sept. 8th Jessica didnt use gloves when getting Lambaren up for shower and she was covered in urine  - Jessica and Priscilla start patient visits at least 5 minutes before they arrive at patient home  - Jessica and Faline have been rude and talking about me even in front of other people, I was told about one time from a RN in a facility - Faline does not work as a team with me no matter how hard I try, even ignores me when I try to have a conversation  - Jessica and Faline will take my patients to bathe them while telling me to just make the bed or grab clothes instead of teaching me and letting me learn my patients  - Dont have full time hours  - My pay isnt enough for my bills  - Hospice isnt what I expected it to be ;",2,When I would message my supervisor about certain topics she wouldnï¿½t answer my message but it I text again about a patient she would answer that while still ignoring my other messages.,-0.5136719,2,There was only 1 Aide (Priscilla) that encouraged me and let me do hands on practices so I could learn how to do my job effectively.,-0.35546875,3,"Some people were super helpful, but others were not. ",-0.20703125,"Encourage better team work, make sure things that are talked about in meetings actually happen and make it out of the meeting, and make sure supervisors jobs are done effectively. ",I do not have any other information. ,9,3,Dissatisfied with Supervisor,dissatisfied with supervisor,Supervisor / Management
98,9/12/2025,anonymous,Lighthouse Hospice & Home Care,Snyder,Kevin,Johnson,Hospice Aide,Patricia Nguyen,"Pay;Dissatisfied with Job;Dissatisfied with Supervisor;Opportuitny For Growth;- the two weeks I was in training Jessica and Priscilla had been doing my patients visits at assisted living before I get to work, then telling me to do the charting and let the time go for 30 mins when I get there even though I didnt see the patient  - Monday, Sept. 8th Jessica didnt use gloves when getting Lambaren up for shower and she was covered in urine  - Jessica and Priscilla start patient visits at least 5 minutes before they arrive at patient home  - Jessica and Faline have been rude and talking about me even in front of other people, I was told about one time from a RN in a facility - Faline does not work as a team with me no matter how hard I try, even ignores me when I try to have a conversation  - Jessica and Faline will take my patients to bathe them while telling me to just make the bed or grab clothes instead of teaching me and letting me learn my patients  - Dont have full time hours  - My pay isnt enough for my bills  - Hospice isnt what I expected it to be ;",2,When I would message my supervisor about certain topics she wouldnï¿½t answer my message but it I text again about a patient she would answer that while still ignoring my other messages.,-0.5136719,2,There was only 1 Aide (Priscilla) that encouraged me and let me do hands on practices so I could learn how to do my job effectively.,-0.35546875,3,"Some people were super helpful, but others were not. ",-0.20703125,"Encourage better team work, make sure things that are talked about in meetings actually happen and make it out of the meeting, and make sure supervisors jobs are done effectively. ",I do not have any other information. ,9,4,Opportuitny For Growth,opportuitny for growth,Career Growth / Hours
98,9/12/2025,anonymous,Lighthouse Hospice & Home Care,Snyder,Kevin,Johnson,Hospice Aide,Patricia Nguyen,"Pay;Dissatisfied with Job;Dissatisfied with Supervisor;Opportuitny For Growth;- the two weeks I was in training Jessica and Priscilla had been doing my patients visits at assisted living before I get to work, then telling me to do the charting and let the time go for 30 mins when I get there even though I didnt see the patient  - Monday, Sept. 8th Jessica didnt use gloves when getting Lambaren up for shower and she was covered in urine  - Jessica and Priscilla start patient visits at least 5 minutes before they arrive at patient home  - Jessica and Faline have been rude and talking about me even in front of other people, I was told about one time from a RN in a facility - Faline does not work as a team with me no matter how hard I try, even ignores me when I try to have a conversation  - Jessica and Faline will take my patients to bathe them while telling me to just make the bed or grab clothes instead of teaching me and letting me learn my patients  - Dont have full time hours  - My pay isnt enough for my bills  - Hospice isnt what I expected it to be ;",2,When I would message my supervisor about certain topics she wouldnï¿½t answer my message but it I text again about a patient she would answer that while still ignoring my other messages.,-0.5136719,2,There was only 1 Aide (Priscilla) that encouraged me and let me do hands on practices so I could learn how to do my job effectively.,-0.35546875,3,"Some people were super helpful, but others were not. ",-0.20703125,"Encourage better team work, make sure things that are talked about in meetings actually happen and make it out of the meeting, and make sure supervisors jobs are done effectively. ",I do not have any other information. ,9,5,"- the two weeks I was in training Jessica and Priscilla had been doing my patients visits at assisted living before I get to work, then telling me to do the charting and let the time go for 30 mins when I get there even though I didnt see the patient  - Monday, Sept. 8th Jessica didnt use gloves when getting Lambaren up for shower and she was covered in urine  - Jessica and Priscilla start patient visits at least 5 minutes before they arrive at patient home  - Jessica and Faline have been rude and talking about me even in front of other people, I was told about one time from a RN in a facility - Faline does not work as a team with me no matter how hard I try, even ignores me when I try to have a conversation  - Jessica and Faline will take my patients to bathe them while telling me to just make the bed or grab clothes instead of teaching me and letting me learn my patients  - Dont have full time hours  - My pay isnt enough for my bills  - Hospice isnt what I expected it to be ","- the two weeks i was in training jessica and priscilla had been doing my patients visits at assisted living before i get to work, then telling me to do the charting and let the time go for 30 mins when i get there even though i didnt see the patient  - monday, sept. 8th jessica didnt use gloves when getting lambaren up for shower and she was covered in urine  - jessica and priscilla start patient visits at least 5 minutes before they arrive at patient home  - jessica and faline have been rude and talking about me even in front of other people, i was told about one time from a rn in a facility - faline does not work as a team with me no matter how hard i try, even ignores me when i try to have a conversation  - jessica and faline will take my patients to bathe them while telling me to just make the bed or grab clothes instead of teaching me and letting me learn my patients  - dont have full time hours  - my pay isnt enough for my bills  - hospice isnt what i expected it to be",Pay & Compensation
98,9/12/2025,anonymous,Lighthouse Hospice & Home Care,Snyder,Kevin,Johnson,Hospice Aide,Patricia Nguyen,"Pay;Dissatisfied with Job;Dissatisfied with Supervisor;Opportuitny For Growth;- the two weeks I was in training Jessica and Priscilla had been doing my patients visits at assisted living before I get to work, then telling me to do the charting and let the time go for 30 mins when I get there even though I didnt see the patient  - Monday, Sept. 8th Jessica didnt use gloves when getting Lambaren up for shower and she was covered in urine  - Jessica and Priscilla start patient visits at least 5 minutes before they arrive at patient home  - Jessica and Faline have been rude and talking about me even in front of other people, I was told about one time from a RN in a facility - Faline does not work as a team with me no matter how hard I try, even ignores me when I try to have a conversation  - Jessica and Faline will take my patients to bathe them while telling me to just make the bed or grab clothes instead of teaching me and letting me learn my patients  - Dont have full time hours  - My pay isnt enough for my bills  - Hospice isnt what I expected it to be ;",2,When I would message my supervisor about certain topics she wouldnï¿½t answer my message but it I text again about a patient she would answer that while still ignoring my other messages.,-0.5136719,2,There was only 1 Aide (Priscilla) that encouraged me and let me do hands on practices so I could learn how to do my job effectively.,-0.35546875,3,"Some people were super helpful, but others were not. ",-0.20703125,"Encourage better team work, make sure things that are talked about in meetings actually happen and make it out of the meeting, and make sure supervisors jobs are done effectively. ",I do not have any other information. ,9,6,,,Other
102,9/17/2025,anonymous,Evergreen Compassion Hospice,"Plano, TX",Laura,Thompson,Hospice CNA,Robert McAllister,Low Patient workload & staff coordinator refused to increase;,2,"Remarkable Hospice ranks #3 out of the top 5 good hospice agencies in the DFW metroplex. Poor communication was the biggest issue with the staff coordinator & supervisor. There were concerns regarding the facilities' caregivers not wanting to abide by the patients' care plans from the agency. The DON (Ricki Dickey) nor the staff coordinator, (Wendi Kissane) tried to reiterate the safety guidelines, regarding the transferring of the patients who were considered total care/Hoyer level. That was the only issue that I had with this agency.",0.2421875,2,"I felt that every time I voiced my concerns, the staff brushed it off and saw me as a problem & replaced me with someone else. ",-0.23828125,2,"I never got the chance to deal with corporate, but management at the local office in Plano needs to handle situations, so that their caregivers can provide better care for the patients.",-0.01171875,"Management should work better to help their caregivers provide better care for the patients. They shouldn't be so quick to lessen the workload or replace a caregiver, whenever they express a concern regarding the lack of assistance or other problems from facilities' caregivers.",#8 & #14 ,10,1,Low Patient workload & staff coordinator refused to increase,low patient workload & staff coordinator refused to increase,Job Dissatisfaction
